ratio = 2.522512774271115, flow_size = 0.003126MB
ratio = 2.1898916967509026, flow_size = 0.002991MB
ratio = 2.222777346431264, flow_size = 1.924711MB
ratio = 2.0757899738655263, flow_size = 0.005541MB
ratio = 2.521471676724569, flow_size = 0.520202MB
ratio = 4.444460143903658, flow_size = 0.902118MB
ratio = 2.981924882629108, flow_size = 0.007999MB
ratio = 2.2361094586555623, flow_size = 0.005221MB
ratio = 2.1146295508417916, flow_size = 0.000995MB
ratio = 2.975844613183669, flow_size = 0.021499MB
ratio = 4.188967278919839, flow_size = 0.000853MB
ratio = 2.8637298091042585, flow_size = 0.007813MB
ratio = 2.7630813953488373, flow_size = 0.0099MB
ratio = 2.8205203156971645, flow_size = 0.008767MB
ratio = 3.4454305024977963, flow_size = 0.007681MB
ratio = 2.58564377231674, flow_size = 0.03189MB
ratio = 3.743226194052268, flow_size = 0.003252MB
ratio = 3.63620093067653, flow_size = 0.004661MB
ratio = 2.850832987490366, flow_size = 0.005927MB
ratio = 2.276536312849162, flow_size = 0.009696MB
ratio = 3.494002116899918, flow_size = 0.007568MB
ratio = 2.181434853322089, flow_size = 0.002752MB
ratio = 2.735935216755967, flow_size = 0.000639MB
ratio = 2.5707195028449217, flow_size = 0.395902MB
ratio = 2.4283091399391816, flow_size = 0.012615MB
ratio = 2.314412548091151, flow_size = 0.006229MB
ratio = 2.445604719764012, flow_size = 0.006924MB
ratio = 2.229724943926337, flow_size = 0.00682MB
ratio = 2.3644047331562423, flow_size = 0.002289MB
ratio = 2.129245283018868, flow_size = 0.007002MB
ratio = 2.4701359084406294, flow_size = 0.004835MB
ratio = 2.3248057508324966, flow_size = 0.030381MB
ratio = 2.1317852129153017, flow_size = 0.008645MB
ratio = 2.622442618305469, flow_size = 0.015178MB
ratio = 3.3953461975028376, flow_size = 0.014908MB
ratio = 2.060737757048972, flow_size = 0.029793MB
ratio = 3.470211250890102, flow_size = 0.005747MB
ratio = 3.0627094303494493, flow_size = 0.004035MB
ratio = 2.2301852586255735, flow_size = 0.015253MB
ratio = 2.591293620021149, flow_size = 0.007772MB
ratio = 2.061222558667676, flow_size = 0.056847MB
ratio = 2.422702702702703, flow_size = 0.014354MB
ratio = 2.3093425187333816, flow_size = 0.002082MB
ratio = 2.3005525511403717, flow_size = 0.007647MB
ratio = 2.944588083206017, flow_size = 0.007722MB
ratio = 3.047761865486991, flow_size = 1.872737MB
ratio = 3.659446733372572, flow_size = 0.00737MB
ratio = 3.0916130507540873, flow_size = 0.952253MB
ratio = 3.8288147792706333, flow_size = 0.003595MB
ratio = 2.5263034012004235, flow_size = 0.007425MB
ratio = 2.4107046509118377, flow_size = 0.025812MB
ratio = 2.260828625235405, flow_size = 0.007403MB
ratio = 2.1844221400481305, flow_size = 0.007961MB
ratio = 2.911966577141152, flow_size = 0.004578MB
ratio = 2.267325645249863, flow_size = 0.347737MB
ratio = 2.4112414994194724, flow_size = 1.530593MB
ratio = 2.0910394265232974, flow_size = 0.004386MB
ratio = 2.725393285516244, flow_size = 0.002621MB
ratio = 5.2654892905793815, flow_size = 1.039297MB
ratio = 3.1994884910485935, flow_size = 0.005253MB
ratio = 2.766412123364707, flow_size = 0.006212MB
ratio = 3.2178767614043466, flow_size = 0.004488MB
ratio = 3.134947357169579, flow_size = 0.027923MB
ratio = 12.040675732342898, flow_size = 0.999362MB
ratio = 4.170839730719263, flow_size = 0.006714MB
ratio = 2.7739483823296562, flow_size = 0.030735MB
ratio = 2.835449830084064, flow_size = 0.004799MB
ratio = 2.3622487778381314, flow_size = 0.024303MB
ratio = 3.6107942853783292, flow_size = 0.007604MB
ratio = 2.0620578969268264, flow_size = 0.005386MB
ratio = 3.425836758661186, flow_size = 0.007875MB
ratio = 3.573697212092695, flow_size = 0.007518MB
ratio = 3.9086861010508818, flow_size = 0.005633MB
ratio = 2.3573900148294613, flow_size = 0.046004MB
ratio = 3.1371671124549367, flow_size = 0.009881MB
ratio = 4.772824282665402, flow_size = 0.005943MB
ratio = 2.8743033321475155, flow_size = 0.005915MB
ratio = 4.469427657305368, flow_size = 0.006026MB
ratio = 3.257388500806018, flow_size = 0.004499MB
ratio = 2.278076171875, flow_size = 0.000131MB
ratio = 4.459758551307847, flow_size = 0.006267MB
ratio = 8.258852418760743, flow_size = 1.261931MB
ratio = 6.74300518134715, flow_size = 0.000395MB
ratio = 2.22534441285808, flow_size = 0.022923MB
ratio = 2.3031991310137006, flow_size = 0.485523MB
ratio = 2.640916858169819, flow_size = 0.007136MB
ratio = 3.302577288763978, flow_size = 0.004184MB
ratio = 2.078292707392918, flow_size = 0.042539MB
ratio = 2.0586340590515957, flow_size = 0.004698MB
ratio = 2.4593242288674357, flow_size = 0.007351MB
ratio = 2.412355984011286, flow_size = 0.007642MB
ratio = 3.8596333032762247, flow_size = 0.003128MB
ratio = 2.6112334146486584, flow_size = 0.005177MB
ratio = 5.791202292680707, flow_size = 1.902339MB
ratio = 2.411782154722354, flow_size = 0.005795MB
ratio = 2.0024286581663633, flow_size = 0.001154MB
ratio = 4.184774037003336, flow_size = 0.001342MB
ratio = 2.0021312394840156, flow_size = 0.017391MB
ratio = 2.2826126289126107, flow_size = 0.002496MB
ratio = 4.284634614266612, flow_size = 0.009917MB
ratio = 2.06487061325771, flow_size = 0.006621MB
ratio = 3.150721153846154, flow_size = 0.003186MB
ratio = 2.8073201514514095, flow_size = 0.003181MB
ratio = 3.0232447817836814, flow_size = 0.005897MB
ratio = 3.1827779812034662, flow_size = 0.000155MB
ratio = 4.146731954225352, flow_size = 0.021527MB
ratio = 2.798279100769557, flow_size = 0.001578MB
ratio = 2.2456006951987835, flow_size = 0.024325MB
ratio = 4.8169973001526, flow_size = 0.007969MB
ratio = 2.001554293064637, flow_size = 0.027256MB
ratio = 2.1352481041380544, flow_size = 0.004482MB
