ratio = 4.903663186881155, flow_size = 6.553826MB
ratio = 5.09693046386007, flow_size = 0.178987MB
ratio = 9.10967205323194, flow_size = 0.001116MB
ratio = 7.932622504537205, flow_size = 0.005915MB
ratio = 9.724073435677768, flow_size = 1.526923MB
ratio = 3.4356913183279745, flow_size = 0.034272MB
ratio = 2.8899670457662356, flow_size = 8.951849MB
ratio = 2.8812648345969807, flow_size = 3.986212MB
ratio = 7.203435291498952, flow_size = 3.11587MB
ratio = 5.513820779029526, flow_size = 15.289529MB
ratio = 4.11848031381665, flow_size = 0.064964MB
ratio = 3.187364839117592, flow_size = 4.864601MB
ratio = 17.682968568467988, flow_size = 0.660459MB
ratio = 2.323363976651799, flow_size = 8.267011MB
ratio = 10.487513381653534, flow_size = 1.260002MB
